matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000622,registration_number,91BC,PF000622,FTS/HPC/PF/23/4648 | FTS/HPC/PF/23/4649,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234648-ftshpcpf234649 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234648-ftshpcpf234649,,2024-03-28T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,Written Decision PF.23.4648+4649_Redacted.pdf | Proposed PFEO PF.23.4648+4649_Redacted.pdf | PFEO - PF.23.4648 & 23.4649_Redacted.pdf | Written Decision (Complied) - PF.23.4648 & PF 23.4649_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Written%20Decision%20PF.23.4648%2B4649_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/Proposed%20PFEO%20PF.23.4648%2B4649_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/PFEO%20-%20PF.23.4648%20%26%2023.4649_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Written%20Decision%20%28Complied%29%20-%20PF.23.4648%20%26%20PF%2023.4649_Redacted.pdf,,
PF000108,registration_number,Newton Property Management,PF000108,FTS/HPC/PF/23/1912,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231912,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-01-29T12:00:00Z,Complied,positive,resolved,False,True,True,False,False,False,True,True,Property Factor Enforcement Order PF.23.1912_Redacted.pdf | Certificate of Compliance PF.23.1912_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-03/Property%20Factor%20Enforcement%20Order%20PF.23.1912_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Certificate%20of%20Compliance%20PF.23.1912_Redacted.pdf,,
PF000196,registration_number,Ross & Liddell Ltd,PF000196,FTS/HPC/PF/24/1624,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241624,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",,Rejected,positive,,False,True,False,False,False,True,False,True,Rejection PF.24.1624_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-07/Rejection%20PF.24.1624_Redacted.pdf,,
PF000288,registration_number,Hacking & Paterson,PF000288,FTS/HPC/PF/23/1149,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231149,"Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2023-10-02T12:00:00Z,Decision Issued,negative,,False,True,False,False,True,True,True,True,Written Decision PF.23.1149_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-01/Written%20Decision%20PF.23.1149_Redacted.pdf,[2024] UT 18,https://www.scotcourts.gov.uk/docs/default-source/cos-general-docs/upper-tribunal-pdfs-for-web/2024ut18.pdf?sfvrsn=8b309471_1
PF000160,registration_number,Speirs Gumley,PF000160,FTS/HPC/PF/23/2040 | FTS/HPC/PF/23/2924,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232040-ftshpcpf232924 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232040-ftshpcpf232924,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-06-12T12:00:00Z,Decision Issued,negative,,True,True,False,False,False,True,False,True,Written Decision 12.06 PF.23.2040+2924.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%2012.06%20PF.23.2040%2B2924.pdf,,
PF000781,registration_number,Lowther Homes,PF000781,FTS/HPC/PF/22/3455 | FTS/HPC/PF/22/3750 | FTS/HPC/PF/22/3934 | FTS/HPC/PF/22/3935,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223455-ftshpcpf223750-ftshpcpf223934-ftshpcpf223935 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223455-ftshpcpf223750-ftshpcpf223934-ftshpcpf223935 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223455-ftshpcpf223750-ftshpcpf223934-ftshpcpf223935 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf223455-ftshpcpf223750-ftshpcpf223934-ftshpcpf223935,,2024-03-06T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,"Written Decision (Failure to Comply) (Proposed PFEO) 3455, 3750, 3934, 3935 (3)_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) 3455, 3750, 3934, 3935 (2)_Redacted.pdf | PFEO PF 22.3455, 3750, 3934, 3935_Redacted.pdf | Compliance Decision Property Factor PF 22.3455, 3750, 3934, 3935_Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/2024-04/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%203455%2C%203750%2C%203934%2C%203935%20%283%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-04/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%203455%2C%203750%2C%203934%2C%203935%20%282%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/PFEO%20PF%2022.3455%2C%203750%2C%203934%2C%203935_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Compliance%20Decision%20Property%20Factor%20PF%2022.3455%2C%203750%2C%203934%2C%203935_Redacted.pdf,,
PF000785,registration_number,Lowther Homes Limited,PF000785,FTS/HPC/PF/21/1864,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf211864,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code)",2022-01-11T12:00:00Z,Failure to Comply,negative,unresolved,False,True,False,False,False,True,True,False,Decision PF.21.1864 Feb 22.pdf | Proposed PFEO PF.21.1864 Feb 22.pdf | PF.21.1864 PFEO 29th March 22_Redacted.pdf | Failure to Comply with Order PF.21.1864_Redacted.pdf | PFEO Variation Dec PF.21.1864 24th Jan 23_Redacted.pdf | FTC Decision PF.21.1864 12th June 24_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20PF.21.1864%20Feb%2022.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20PF.21.1864%20Feb%2022.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.1864%20PFEO%2029th%20March%2022_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Failure%20to%20Comply%20with%20Order%20PF.21.1864_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20Variation%20Dec%20PF.21.1864%2024th%20Jan%2023_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/FTC%20Decision%20PF.21.1864%2012th%20June%2024_Redacted.pdf,,
PF000785,registration_number,Lowther Homes Limited,PF000785,FTS/HPC/PF/24/1518,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241518,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-06-07T12:00:00Z,Rejected,positive,,False,True,False,False,False,True,False,True,Written Decision (Reject) 1518.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20%28Reject%29%201518.pdf,,
PF000763,registration_number,Respondent	RMG Scotland,PF000763,FTS/HPC/PF/24/1497,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241497,,2024-06-06T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Rejection PF.24.1497_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Rejection%20PF.24.1497_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson Management,PF000288,FTS/HPC/PF/23/0586+1222,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf2305861222,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-05-01T12:00:00Z,Decision Issued,negative,,True,True,False,False,True,True,False,True,Written Decision PF.23.0586+1222_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.0586%2B1222_Redacted.pdf,,
PF000976,registration_number,"Cumming, Turner & Watt",PF000976,FTS/HPC/PF/23/1594,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231594,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2023-10-30T12:00:00Z,PFEO Proposed,negative,pending,False,True,False,False,False,True,True,True,Decision PF 23 1594_Redacted.pdf | Proposed PFEO PF.23.1594_Redacted.pdf | PFEO PF.23.1594_Redacted.pdf | FTC PFEO PF 23 1594_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2023-11/Decision%20PF%2023%201594_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2023-11/Proposed%20PFEO%20PF.23.1594_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2023-12/PFEO%20PF.23.1594_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/FTC%20PFEO%20PF%2023%201594_Redacted.pdf,,
PF000725,registration_number,Edinburgh Block Management,PF000725,FTS/HPC/PF/23/2533,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232533,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code)",,Decision Issued,negative,,False,True,True,False,False,True,False,False,Written Decision PF.23.2533_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Written%20Decision%20PF.23.2533_Redacted.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/LM/23/0727,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm230727,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-03-07T12:00:00Z,Complied,positive,resolved,False,True,False,False,False,True,True,True,Written Decision (Failure to Comply) (Proposed PFEO) 0727_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) 0727 (1)_Redacted.pdf | Property Factor Enforcement Order LM.23.0727.pdf | Certificate of Compliance LM.23.0727.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-04/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%200727_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-04/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%200727%20%281%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-04/Property%20Factor%20Enforcement%20Order%20LM.23.0727.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/Certificate%20of%20Compliance%20LM.23.0727.pdf,,
PF000785,registration_number,Lowther Homes,PF000785,FTS/HPC/PF/23/0568,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf230568,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2023-11-10T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,True,False,True,Written Decision PF.23.0568_Redacted.pdf | Proposed PFEO PF.23.0568_Redacted.pdf | Certificate of Compliance PF.23.0568_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2023-12/Written%20Decision%20PF.23.0568_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2023-12/Proposed%20PFEO%20PF.23.0568_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/Certificate%20of%20Compliance%20PF.23.0568_Redacted.pdf,,
PF000956,registration_number,C-Urb Factoring,PF000956,FTS/HPC/PF/24/0367+0368,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf2403670368,Property Factor Duties,,Decision Issued,negative,,False,False,False,False,False,False,False,True,Written Decision PF.23.0367+0368_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Written%20Decision%20PF.23.0367%2B0368_Redacted.pdf,,
PF000484,registration_number,Homesbook Factoring Limited,PF000484,FTS/HPC/PF/23/1619,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231619,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-02-22T12:00:00Z,Unknown,neutral,,True,True,True,False,False,True,True,True,final statement of reasons pf 23 1619 (3).pdf | proposed  property factor enforcement order 1619.pdf | cert of compliance pf 1619 (1)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-03/final%20statement%20of%20reasons%20pf%2023%201619%20%283%29_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-03/proposed%20%20property%20factor%20enforcement%20order%201619.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/cert%20of%20compliance%20pf%201619%20%281%29_Redacted.pdf,,
PF000108,registration_number,Newton Property Management Ltd,PF000108,FTS/HPC/PF/23/0337,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf230337,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-01-15T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,True,False,True,Written Decision PF.23.0337_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Written%20Decision%20PF.23.0337_Redacted.pdf,,
PF000546,fuzzy_name (100%),Ross and Liddell (Property Factor),,FTS/HPC/LM/23/1712,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm231712,,2024-04-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Decision - 30.04.24 - 1712_R.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Decision%20-%2030.04.24%20-%201712_R.pdf,,
PF000842,registration_number,Lorimer Stevenson,PF000842,FTS/HPC/PF/23/3555,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233555,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",,Rejected,positive,,True,True,True,False,False,True,True,True,Written Decision (Reject) 3555_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Written%20Decision%20%28Reject%29%203555_Redacted.pdf,,
PF000288,manual_mapping,Hacking and Paterson Management Services,,FTS/HPC/PF/23/2549,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232549,"Written statement of services (Section 1 of Code), Financial obligations (Section 3 of Code), Property Factor Duties",2024-03-14T12:00:00Z,Decision Issued,negative,,True,False,True,False,False,False,False,True,Decision PF2549 230424_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Decision%20PF2549%20230424_Redacted.pdf,,
